Name,Sport,Age,Height,Weight,Sex
Toni Markus Nieminen,Ski Jumping,16.0,179.0,60.0,M
"Penelope ""Penny"" Oleksiak",Swimming,16.0,185.0,68.0,F
"Eva Viola Elisabet ""Ewa"" Olliwier (-Lundqvist)",Diving,16.0,,,F
"Susan Kay ""Sue"" Pitt (-Anderson)",Swimming,16.0,172.0,57.0,F
Ashley Ann Whitney,Swimming,16.0,170.0,56.0,F
"Elizabeth Cynthia ""Beth"" Barr (-Isaak)",Swimming,16.0,178.0,60.0,F
Zhou Qiurui,Gymnastics,16.0,152.0,41.0,F
Zhou Ping,Gymnastics,16.0,155.0,41.0,F
"Lauren Zoe ""Laurie"" Hernandez",Gymnastics,16.0,152.0,49.0,F
milie Le Pennec,Gymnastics,16.0,150.0,37.0,F
Andrs Hargitay,Swimming,16.0,188.0,71.0,M
Pierre douard Hardy,Shooting,16.0,,,M
Natalie Anne Myburgh (-Gillespie),Swimming,16.0,,,F
"Susan Christina ""Chris"" von Saltza (-Olmstead)",Swimming,16.0,178.0,63.0,F
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",Swimming,16.0,170.0,52.0,F
Samantha Nicole Peszek,Gymnastics,16.0,152.0,50.0,F
Lao Lishi,Diving,16.0,153.0,43.0,F
Linda Louise Jezek,Swimming,16.0,173.0,58.0,F
Jiang Yuyuan,Gymnastics,16.0,140.0,32.0,F
"Johan Anders ""Juho Aarne"" Pekkalainen",Sailing,16.0,,,M
Lavinia Agache (-Carney),Gymnastics,16.0,148.0,40.0,F
Silke Pielen (-Rogatko),Swimming,16.0,170.0,64.0,F
Robert Gufflet,Sailing,16.0,,,M
"Maria Johanna ""Zus"" Philipsen-Braun",Swimming,16.0,170.0,,F
"Jaycie Lynn Phelps (-McClure, -Marus)",Gymnastics,16.0,,,F
Wang Yan,Gymnastics,16.0,140.0,33.0,F
Brian Eric Phelps,Diving,16.0,168.0,67.0,M
Li Shanshan,Gymnastics,16.0,145.0,36.0,F
"Aneta ""Anca"" Ptrcoiu",Swimming,16.0,179.0,73.0,F
"Catharina Wilhelmina ""Tini"" Wagner (-Boekhorst)",Swimming,16.0,,,F
Anne Elizabeth Jardin (-Alexander),Swimming,16.0,179.0,77.0,F
"Janice ""Jan"" Andrew (-Thornett)",Swimming,16.0,162.0,54.0,F
Annette Hadding,Swimming,16.0,175.0,58.0,F
Vanda Maria Hdrean,Gymnastics,16.0,,,F
Phyllis May Harding (-Turner),Swimming,16.0,163.0,,F
Carly Rae Patterson (-Caldwell),Gymnastics,16.0,152.0,44.0,F
Jeanette Evelyn Myburgh,Swimming,16.0,,,F
"Raymond E. ""Ray"" Lawler",Football,16.0,,,M
Brian Gregory Job,Swimming,16.0,180.0,74.0,M
"Kimberley Lyn ""Kim"" Zmeskal (-Burdette)",Gymnastics,16.0,139.0,36.0,F
Heidi Pechstein (-Kunze),Swimming,16.0,171.0,64.0,F
Li Na,Diving,16.0,162.0,47.0,F
Uwe Benter,Rowing,16.0,150.0,50.0,M
Caren Metschuck (-Mahn),Swimming,16.0,184.0,76.0,F
Ilse Pausin (-Ulrich),Figure Skating,16.0,,,F
"Charles James Hicks January, Jr.",Football,16.0,,,M
"Robert William ""Bobby"" Hackett, Jr.",Swimming,16.0,188.0,83.0,M
Anna Anatolyevna Pavlova,Gymnastics,16.0,152.0,43.0,F
Barbara Lynne Clark (-Parolin),Swimming,17.0,168.0,61.0,F
Charles Ronald MacIver,Sailing,17.0,,,M
Louis Dsir Bach,Football,17.0,,,M
Austin Rhone Clapp,Swimming,17.0,,,M
Robin James Backhaus,Swimming,17.0,183.0,77.0,M
Atagn Yalnkaya,Boxing,17.0,165.0,48.0,M
Ernst Friedrich Bahnmeyer,Swimming,17.0,,,M
Mihaela Stnule,Gymnastics,17.0,152.0,44.0,F
Jane Ellen Swagerty (-Hill),Swimming,17.0,173.0,65.0,F
Silvia Chivs Bar,Athletics,17.0,157.0,58.0,F
Marilyn Joy Wilson (-Young),Swimming,17.0,163.0,58.0,F
Celestine Boyd Jonto Hycieth Babayaro,Football,17.0,173.0,66.0,M
Sndor Wladr,Swimming,17.0,184.0,78.0,M
Justin William Lemberg,Swimming,17.0,183.0,78.0,M
Jrg Woithe,Swimming,17.0,194.0,80.0,M
"Marie Louise ""Marilee"" Stepan (-Wehmann)",Swimming,17.0,,,F
Gustave Marius L. Wuyts,Tug-Of-War,17.0,,,M
Natalie Alwyne Steward,Swimming,17.0,174.0,70.0,F
Isaac Asare,Football,17.0,,,M
Manfred Stengl,Luge,17.0,,,M
"Josefine ""Fini"" Sticker",Swimming,17.0,,,F
Hans Helmut Stoiber,Art Competitions,17.0,,,M
"Janette May ""Jenny"" Steinbeck (-Murray)",Swimming,17.0,171.0,64.0,F
Jenni Anna Christina Asserholt,Ice Hockey,17.0,172.0,71.0,F
Angela Steinbach,Swimming,17.0,173.0,62.0,F
Mnika Csszr,Gymnastics,17.0,166.0,55.0,F
Edmond Kramer III,Football,17.0,,,M
Tamsin Cook,Swimming,17.0,170.0,61.0,F
Merrill Rowland Wolfe,Gymnastics,17.0,,,M
Xu Yanmei,Diving,17.0,162.0,47.0,F
William Cuthbertson,Boxing,17.0,,,M
Leslie Cliff (-Tindle),Swimming,17.0,173.0,60.0,F
Robert Stephen Cusack,Swimming,17.0,171.0,70.0,M
Xu Tianlongzi,Swimming,17.0,168.0,56.0,F
"Leonard John ""Len"" Leisching",Boxing,17.0,,,M
Tetiana Feliksivna Lysenko,Gymnastics,17.0,,,F
"Timothy John ""Tim"" Cuddihy",Archery,17.0,184.0,84.0,M
Warren Kenneth Wood,Golf,17.0,178.0,,M
Nicole Leistenschneider (-Mikisch),Athletics,17.0,175.0,55.0,F
"Edward McClellan ""Ned"" Cummins",Golf,17.0,,,M
Renate Vogel (-Heinrich),Swimming,17.0,164.0,54.0,F
Julian Paul Carroll,Swimming,17.0,188.0,80.0,M
Margaret Ann Bailes (Johnson-),Athletics,17.0,170.0,65.0,F
Ndifreke Effiong Udo,Football,17.0,173.0,78.0,M
Seda Gurgenovna Tutkhalyan,Gymnastics,17.0,146.0,43.0,F
Warren George Brittingham,Football,17.0,,,M
Gudrun Beckmann,Swimming,17.0,174.0,62.0,F
Jacques Brodin,Fencing,17.0,180.0,77.0,M
Violet Blanche Webb (-Simpson),Athletics,17.0,173.0,60.0,F
Gilbert Fernand Charles Bozon,Swimming,17.0,,,M
Gudrun Wegner (-Wnsche),Swimming,17.0,175.0,65.0,F
"Gregory John ""Greg"" Brough",Swimming,17.0,187.0,79.0,M
Mariechen M. Wehselau (-Jackson),Swimming,17.0,,,F
Yekaterina Vladimirovna Lobaznyuk,Gymnastics,17.0,141.0,40.0,F
Ionela Loaie,Gymnastics,17.0,,,F
Tatyana Valeryevna Belan,Rhythmic Gymnastics,17.0,165.0,43.0,F
Shunpei Uto,Swimming,17.0,,,M
Helga Lindner (-Hrtel),Swimming,17.0,171.0,66.0,F
Ling Jie,Gymnastics,17.0,150.0,37.0,F
"Catharina Johanna ""Toos"" Beumer (-Krediet)",Swimming,17.0,174.0,70.0,F
Nii Odartey Lamptey,Football,17.0,,,M
Herman Bohne,Gymnastics,17.0,,,M
